Date,Time,User,IP,Port
2025-04-18, 06:25:16, jain-dgx, 106.216.232.219, 57442
2025-04-18, 05:51:07, dgx-rls-s-jainschool-cs-1234, 127.0.0.1, 37406
2025-04-18, 00:11:53, jain-dgx, 152.57.119.239, 41194
2025-04-19, 05:55:58, jain-dgx, 106.217.125.88, 26643
2025-04-19, 07:49:12, dgx-rls-s-jaincollege-cs-12345, 127.0.0.1, 36532
2025-04-18, 01:48:08, satya, 152.57.119.239, 60184
2025-04-19, 05:59:56, test, 106.217.125.88, 26647
2025-04-18, 00:51:25, dgx-rls-f-jain-ai-12, 127.0.0.1, 48730
2025-04-18, 06:50:49, anubhav, 106.216.232.219, 52996
2025-04-19, 04:50:36, deepak, 192.168.1.6, 39918
2025-04-18, 04:03:46, jain-dgx, 103.207.124.119, 6816
2025-04-18, 06:04:40, jain-dgx, 192.168.1.40, 45074
2025-04-18, 00:52:01, dgx-rls-f-jain-ai-12, 152.57.119.239, 54288
2025-04-18, 06:03:09, deepak, 192.168.1.40, 39252
2025-04-18, 00:37:14, dgx-rls-s-jain-cs-123, 127.0.0.1, 57994
2025-04-18, 08:37:22, jain-dgx, 192.168.1.44, 54268
2025-04-18, 05:51:49, dgx-rls-s-jainschool-cs-1234, 192.168.1.8, 35200
2025-04-18, 00:14:17, deepak, 223.186.14.45, 58995
2025-04-18, 04:37:27, jain-dgx, 152.57.124.187, 57896
2025-04-18, 05:15:15, jain-dgx, 192.168.1.8, 48258
2025-04-18, 05:56:49, test, 192.168.1.40, 57630
2025-04-18, 06:03:00, test, 192.168.1.41, 49828
2025-04-18, 07:08:47, anubhav, 192.168.1.49, 40888
2025-04-18, 00:38:05, dgx-rls-s-jain-cs-123, 152.57.119.239, 52080
2025-04-18, 06:04:19, jain-dgx, 192.168.1.32, 51356
2025-04-18, 02:57:06, jain-dgx, 223.186.14.45, 58890
2025-04-19, 04:24:10, jain-dgx, 192.168.1.6, 55588
2025-04-19, 04:26:03, satya, 192.168.1.8, 40664
