top - 06:18:30 up  1:30,  7 users,  load average: 23.08, 22.90, 19.74
Tasks: 2901 total,   1 running, 2900 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.4 us,  0.7 sy,  0.0 ni, 98.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 2063936.+total, 1888224.+free,  23067.0 used, 152644.9 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used. 2030557.+avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  10086 root      20   0  559848  45272  10312 S 100.0   0.0  41:31.27 nv-hostengine
2166063 root      20   0   16476   7500   3648 R  21.1   0.0   0:00.07 top
   8882 root      20   0   29.7g 258256  49988 S  10.5   0.0   1055:28 dockerd
  10697 root      20   0 7410876 187248  68944 S  10.5   0.0   9:39.02 kubelet
  35756 root      20   0  601620  99064  30172 S  10.5   0.0   0:04.95 node
  38541 1337      20   0   28.7g 175956  37240 S  10.5   0.0   8:30.38 envoy
 925737 satya     20   0   21892  14660   8140 S  10.5   0.0   0:42.63 systemd
      1 root      20   0  172220  17440   8448 S   5.3   0.0   1:37.45 systemd
   8734 root      20   0 7495732 108576  41496 S   5.3   0.0   3:16.45 containerd
   9815 root      20   0  837572  58428  26472 S   5.3   0.0  15:42.22 cri-dockerd
  35555 root      20   0  712656  12124   8032 S   5.3   0.0   0:09.83 containerd-shim
  38769 root      20   0   28.4g  68732  18292 S   5.3   0.0   8:52.82 envoy
  40644 1337      20   0 5153796 153304  61968 S   5.3   0.0   0:39.88 pilot-discovery
  42698 1337      20   0   28.7g 198392  37728 S   5.3   0.0   8:18.34 envoy
  70340 jain-dgx  20   0   21696  14424   8136 S   5.3   0.0   1:09.30 systemd
1512646 root      20   0       0      0      0 I   5.3   0.0   0:01.11 kworker/0:0-events
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.29 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     14 root      20   0       0      0      0 S   0.0   0.0   0:01.91 ksoftirqd/0
     15 root      20   0       0      0      0 I   0.0   0.0   0:11.42 rcu_sched
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 migration/0
     17 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     21 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     22 root      rt   0       0      0      0 S   0.0   0.0   0:12.07 migration/1
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.31 ksoftirqd/1
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     27 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     28 root      rt   0       0      0      0 S   0.0   0.0   0:12.09 migration/2
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftirqd/2
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     33 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     34 root      rt   0       0      0      0 S   0.0   0.0   0:12.13 migration/3
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftirqd/3
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     39 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     40 root      rt   0       0      0      0 S   0.0   0.0   0:12.15 migration/4
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/4
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-kblockd
     44 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     45 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     46 root      rt   0       0      0      0 S   0.0   0.0   0:12.18 migration/5
     47 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/5
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-kblockd
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     51 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/6
     52 root      rt   0       0      0      0 S   0.0   0.0   0:12.22 migration/6
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/6
     55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-events_highpri
     56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     57 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/7
     58 root      rt   0       0      0      0 S   0.0   0.0   0:12.25 migration/7
     59 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/7
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0H-events_highpri
     62 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/8
     64 root      rt   0       0      0      0 S   0.0   0.0   0:12.27 migration/8
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/8
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/8:0H-events_highpri
     68 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/9
     70 root      rt   0       0      0      0 S   0.0   0.0   0:12.29 migration/9
     71 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/9
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:0H-kblockd
     74 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/10
     76 root      rt   0       0      0      0 S   0.0   0.0   0:12.32 migration/10
     77 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/10
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:0H-events_highpri
     80 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/11
     82 root      rt   0       0      0      0 S   0.0   0.0   0:12.35 migration/11
     83 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/11
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-events_highpri
     86 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/12
     88 root      rt   0       0      0      0 S   0.0   0.0   0:12.38 migration/12
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/12
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/12:0H-events_highpri
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     93 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/13
     94 root      rt   0       0      0      0 S   0.0   0.0   0:12.40 migration/13
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/13
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/13:0H-kblockd
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/14
    100 root      rt   0       0      0      0 S   0.0   0.0   0:12.43 migration/14
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/14
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/14:0H-events_highpri
    104 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/15
    106 root      rt   0       0      0      0 S   0.0   0.0   0:12.46 migration/15
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/15
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/15:0H-kblockd
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/16
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/16
    112 root      rt   0       0      0      0 S   0.0   0.0   0:12.48 migration/16
    113 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/16
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/16:0H-events_highpri
    116 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/17
    117 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/17
    118 root      rt   0       0      0      0 S   0.0   0.0   0:12.52 migration/17
    119 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/17
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/17:0H-events_highpri
    122 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/18
    123 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/18
    124 root      rt   0       0      0      0 S   0.0   0.0   0:12.54 migration/18
    125 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/18
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/18:0H-events_highpri
    128 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/19
    129 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/19
    130 root      rt   0       0      0      0 S   0.0   0.0   0:12.57 migration/19
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/19
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/19:0H-events_highpri
    134 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/20
    135 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/20
    136 root      rt   0       0      0      0 S   0.0   0.0   0:12.60 migration/20
    137 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/20
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/20:0H-events_highpri
    140 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/21
