NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE     IP               NODE              NOMINATED NODE   READINESS GATES
auth                             dex-767bfc69bd-6wxd6                                              1/1     Running                    3 (6h33m ago)    2d      10.233.119.181   jain-dgx-server   <none>           <none>
cert-manager                     cert-manager-7fb78674d7-d8xdm                                     1/1     Running                    8 (6h32m ago)    5d22h   10.233.119.132   jain-dgx-server   <none>           <none>
cert-manager                     cert-manager-cainjector-5dfc946d84-vchfv                          1/1     Running                    9 (6h33m ago)    5d22h   10.233.119.168   jain-dgx-server   <none>           <none>
cert-manager                     cert-manager-webhook-8744b7588-95tsw                              1/1     Running                    10 (6h33m ago)   5d22h   10.233.119.176   jain-dgx-server   <none>           <none>
deepops-nfs-client-provisioner   nfs-subdir-external-provisioner-7859dcd666-fn27v                  1/1     Running                    11 (6h33m ago)   5d22h   10.233.119.255   jain-dgx-server   <none>           <none>
f-gi-aiml-1                      ml-pipeline-ui-artifact-fb8c99584-ctmfc                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.251   jain-dgx-server   <none>           <none>
f-gi-aiml-1                      ml-pipeline-visualizationserver-6659778c46-jwprs                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.60    jain-dgx-server   <none>           <none>
f-gi-aiml-1                      triton-0                                                          2/2     Running                    0                101m    10.233.120.31    jain-dgx-server   <none>           <none>
f-gi-aiml-12                     ml-pipeline-ui-artifact-fb8c99584-z9ppr                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.175   jain-dgx-server   <none>           <none>
f-gi-aiml-12                     ml-pipeline-visualizationserver-6659778c46-mgqn9                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.47    jain-dgx-server   <none>           <none>
f-gi-aiml-12                     test-0                                                            2/2     Running                    0                5h20m   10.233.120.3     jain-dgx-server   <none>           <none>
f-gi-aiml-123                    ml-pipeline-ui-artifact-fb8c99584-s9zxh                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.190   jain-dgx-server   <none>           <none>
f-gi-aiml-123                    ml-pipeline-visualizationserver-6659778c46-86gwj                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.252   jain-dgx-server   <none>           <none>
f-gi-aiml-1234                   ml-pipeline-ui-artifact-fb8c99584-299kp                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.195   jain-dgx-server   <none>           <none>
f-gi-aiml-1234                   ml-pipeline-visualizationserver-6659778c46-5hbxw                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.205   jain-dgx-server   <none>           <none>
f-jain-dc-9                      ml-pipeline-ui-artifact-fb8c99584-xdlrt                           2/2     Running                    6 (6h52m ago)    3d      10.233.119.211   jain-dgx-server   <none>           <none>
f-jain-dc-9                      ml-pipeline-visualizationserver-6659778c46-56vhp                  2/2     Running                    6 (6h52m ago)    3d      10.233.119.240   jain-dgx-server   <none>           <none>
f-jain-santosh-1234              ml-pipeline-ui-artifact-fb8c99584-nl8zk                           2/2     Running                    6 (6h52m ago)    3d3h    10.233.119.149   jain-dgx-server   <none>           <none>
f-jain-santosh-1234              ml-pipeline-visualizationserver-6659778c46-hj8qs                  2/2     Running                    6 (6h52m ago)    3d3h    10.233.120.43    jain-dgx-server   <none>           <none>
f-jain-test-1234                 ml-pipeline-ui-artifact-fb8c99584-d2brf                           2/2     Running                    6 (6h52m ago)    3d3h    10.233.119.157   jain-dgx-server   <none>           <none>
f-jain-test-1234                 ml-pipeline-visualizationserver-6659778c46-x2kwr                  2/2     Running                    6 (6h52m ago)    3d3h    10.233.119.241   jain-dgx-server   <none>           <none>
f-test-test123-1234              ml-pipeline-ui-artifact-fb8c99584-qm9hr                           2/2     Running                    6 (6h52m ago)    3d5h    10.233.119.245   jain-dgx-server   <none>           <none>
f-test-test123-1234              ml-pipeline-visualizationserver-6659778c46-j2p8f                  2/2     Running                    6 (6h52m ago)    3d5h    10.233.119.193   jain-dgx-server   <none>           <none>
gpu-operator                     gpu-feature-discovery-4sk5v                                       1/1     Running                    1                6h56m   10.233.119.169   jain-dgx-server   <none>           <none>
gpu-operator                     gpu-operator-784b7c5578-6rrmq                                     1/1     Running                    11 (6h32m ago)   5d22h   10.233.119.186   jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-container-toolkit-daemonset-vpwx6                          1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.201   jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-cuda-validator-8d49x                                       0/1     Completed                  0                6h32m   10.233.120.62    jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-dcgm-exporter-7r575                                        1/1     Running                    6 (15h ago)      5d22h   10.233.119.145   jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-device-plugin-daemonset-nztv7                              1/1     Running                    1                6h57m   10.233.119.159   jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-device-plugin-validator-4xscj                              0/1     UnexpectedAdmissionError   0                6h31m   <none>           jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-gpu-operator-node-feature-discovery-master-6f78fb7c8ttft   1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.230   jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-gpu-operator-node-feature-discovery-worker-lt7cp           1/1     Running                    29 (6h39m ago)   5d22h   10.233.66.139    jainhpmgmt        <none>           <none>
gpu-operator                     nvidia-gpu-operator-node-feature-discovery-worker-qhvdq           1/1     Running                    9 (6h52m ago)    5d22h   10.233.119.183   jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-mig-manager-w5wnl                                          1/1     Running                    6 (15h ago)      5d22h   10.233.119.200   jain-dgx-server   <none>           <none>
gpu-operator                     nvidia-operator-validator-6qpmj                                   1/1     Running                    6 (8h ago)       5d22h   10.233.119.187   jain-dgx-server   <none>           <none>
istio-system                     authservice-0                                                     1/1     Running                    7 (6h37m ago)    5d21h   10.233.119.173   jain-dgx-server   <none>           <none>
istio-system                     cluster-local-gateway-675bb7b74-cwff8                             1/1     Running                    7 (6h37m ago)    5d22h   10.233.119.243   jain-dgx-server   <none>           <none>
istio-system                     istio-ingressgateway-c7fdd4bf6-fk9xr                              1/1     Running                    7 (6h37m ago)    5d22h   10.233.119.134   jain-dgx-server   <none>           <none>
istio-system                     istiod-6995577d4-rqkxf                                            1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.246   jain-dgx-server   <none>           <none>
knative-eventing                 eventing-controller-86647cbc5b-74f5h                              1/1     Running                    8 (6h32m ago)    5d22h   10.233.119.222   jain-dgx-server   <none>           <none>
knative-eventing                 eventing-webhook-6f48bb5f4c-9g22s                                 1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.167   jain-dgx-server   <none>           <none>
knative-serving                  activator-855b695596-gsl4r                                        2/2     Running                    35 (6h31m ago)   5d22h   10.233.119.202   jain-dgx-server   <none>           <none>
knative-serving                  autoscaler-7cbddfc9f7-nlkt8                                       2/2     Running                    20 (6h31m ago)   5d22h   10.233.120.57    jain-dgx-server   <none>           <none>
