I0421 05:29:20.318805       1 nfd-worker.go:159] Node Feature Discovery Worker v0.12.1
I0421 05:29:20.318848       1 nfd-worker.go:160] NodeName: 'jain-dgx-server'
I0421 05:29:20.318850       1 nfd-worker.go:161] Kubernetes namespace: 'gpu-operator'
I0421 05:29:20.320394       1 nfd-worker.go:416] configuration file "/etc/kubernetes/node-feature-discovery/nfd-worker.conf" parsed
I0421 05:29:20.320435       1 nfd-worker.go:448] worker (re-)configuration successfully completed
I0421 05:29:20.460540       1 local.go:115] starting hooks...
E0421 05:29:20.469381       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:29:20.469444       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:29:20.469501       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:29:20.469551       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:29:20.469587       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:29:20.469640       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:29:20.469685       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:29:20.469730       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:29:20.469774       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:29:20.469825       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:29:20.469880       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:29:20.469934       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:29:20.469989       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
